product_id,region,units_sold,price_per_unit,discount_percent
P14,East,12,25.121634958777577,8.666632196400315
P11,South,18,10.304622857365757,18.45099257072434
P13,South,35,45.83842128980905,1.1247459892183542
P14,West,48,12.465280184987932,12.714477621484548
P14,South,41,86.39257441507652,1.8794648791663349
P13,North,23,79.93725828826427,17.663546819239855
P14,North,22,63.31880579702556,28.165239274967462
P13,North,29,86.86693123076111,25.823770347051322
P13,West,42,44.46867550490424,3.8102622726000845
P13,North,2,59.64379777666181,20.29598018852994
