product_id,region,units_sold,price_per_unit,discount_percent
P11,West,5,20.789277439471334,12.012223368510604
P14,West,1,75.95130804227665,8.678721394389868
P14,North,39,24.942834610119462,27.36863632220775
P15,South,24,23.517039604485035,8.926237626001239
P11,North,15,68.17746467189863,28.893365990370512
P12,South,34,61.62281069206074,15.917240995913744
NA,East,32,57.70358240697533,3.617643651086837
P11,North,4,76.15798930404708,29.27567034261301
P10,North,36,59.72486098529771,5.917059648782015
P15,South,15,44.79511224431917,8.714927835389972
