product_id,region,units_sold,price_per_unit,discount_percent
P11,North,24,34.79396529495716,23.668952558655292
P10,North,17,79.8682100768201,27.664158723782748
P14,East,25,-50,14.967632128391415
P11,North,24,88.27540253987536,7.740368430968374
NA,West,14,84.96665372280404,9.064072009641677
P15,East,17,42.948870623949915,10.506748252082616
P12,South,25,61.51534333592281,16.351124325301498
P10,North,4,58.24319483246654,11.359572841320187
P13,North,20,21.394269086886197,6.9333675946109
P10,North,39,26.62134814541787,1.6580979363061488
