product_id,region,units_sold,price_per_unit,discount_percent
P10,East,12,54.54434593440965,18.021708915475756
P10,East,4,58.28373841242865,23.89440350001678
NA,South,42,97.26121433312073,5.655253801960498
P10,South,13,18.891092704143375,11.225564943160862
P11,South,27,41.708332169801,18.87426150497049
P15,West,22,51.60935093648732,4.33996059698984
P15,South,10,64.59346976596862,23.18346244515851
NA,North,12,36.97268769843504,14.761306811124086
P14,North,42,82.06650514621288,6.339855305850506
P10,East,19,68.97805471438915,24.731061605270952
