product_id,region,units_sold,price_per_unit,discount_percent
P14,East,17,65.21251036319882,11.407546747941524
P10,East,1,93.25509050162509,13.980110865086317
P13,North,11,61.030484561342746,2.734782008919865
P10,West,40,70.63533607171848,12.300994510296732
NA,South,30,16.371082107070833,1.287361211143434
P15,West,2,62.629412219394,3.6409520055167377
P10,West,42,58.73539554653689,2.498030746355653
P10,West,28,60.326336508151144,10.45332093955949
P10,West,18,14.266193436924368,14.835986257530749
P14,East,37,64.05821565771475,8.18565591936931
