product_id,region,units_sold,price_per_unit,discount_percent
NA,South,26,55.951074813492596,27.947039329446852
P11,South,12,76.85416266787797,23.49910075077787
P14,South,10,54.78240910451859,3.230603914707899
P15,West,37,37.734486816916615,23.172018032055348
P14,West,44,87.6091520045884,19.42175182979554
P13,East,8,51.606711873319,9.437009152024984
P11,East,31,68.32619701744989,20.953845467884094
P11,East,38,56.10404240898788,27.128292981069535
P12,East,8,27.55159128922969,12.860820188652724
NA,South,27,71.94791710935533,4.502828421536833
